year,date,title,filename,url
2024,2 December 2024,"Circular on Duties and Responsibilities of Developers [PDF, 185 KB]",circular-on-duties-and-responsibilities-of-developers.pdf,https://isomer-user-content.by.gov.sg/338/4909ec9f-40d5-4a2f-998c-efffe870f1c2/circular-on-duties-and-responsibilities-of-developers.pdf
2024,2 December 2024,"Circular on Required Site Conditions and Completion of CONQUAS and Quality Mark Assessments Before TOPCSC Inspection [PDF, 731 KB]",circular-on-required-site-conditions-and-completion-of-conquas-and-quality-mark-assessments-before-topcsc-inspection.pdf,https://isomer-user-content.by.gov.sg/338/9e7f334d-03a6-4b56-9b50-315fa107f7b4/circular-on-required-site-conditions-and-completion-of-conquas-and-quality-mark-assessments-before-topcsc-inspection.pdf
2024,2 December 2024,"Circular on Requirements to Mitigate Risk Associated with Utility Gap Within ERSS [PDF, 3.48 MB]",circular-on-requirements-to-mitigate-risk-associated-with-utility-gap-within-erss.pdf,https://isomer-user-content.by.gov.sg/338/5ea85b11-4a6e-47de-86d2-94ec59b500b2/circular-on-requirements-to-mitigate-risk-associated-with-utility-gap-within-erss.pdf
2024,2 December 2024,"Circular on Use of Temperature-Matched Curing of Concrete Specimens [PDF, 182 KB]",circular-on-use-of-temperature-matched-curing-of-concrete-specimens.pdf,https://isomer-user-content.by.gov.sg/338/6c208c09-96f0-4073-8560-67c339b0cf3d/circular-on-use-of-temperature-matched-curing-of-concrete-specimens.pdf
2024,2 December 2024,"Inter-Agency Coordinating Committee (IACC) Circular on External Works [PDF, 479 KB]",bca-iacc-circular-on-external-works.pdf,https://isomer-user-content.by.gov.sg/338/b959ca74-600c-4c30-9c7c-e5b4b6b36298/bca-iacc-circular-on-external-works.pdf
2024,2 December 2024,"Inter-Agency Coordinating Committee (IACC) Circular on Serviced Apartments [PDF, 169 KB]",bca-iacc-circular-on-serviced-apartments.pdf,https://isomer-user-content.by.gov.sg/338/de511bd3-fa2c-4ac5-ad4d-9d10e9bb46fc/bca-iacc-circular-on-serviced-apartments.pdf
2024,29 November 2024,"Circular on Fee Revision for Amusement Rides Safety Regulations [PDF, 178 KB]",circular-on-fee-revision-for-amusement-rides-safety-regulations-(2024).pdf,https://isomer-user-content.by.gov.sg/338/2df0ebfe-3da2-4530-b62b-c2b4bafa8310/circular-on-fee-revision-for-amusement-rides-safety-regulations-(2024).pdf
2024,1 November 2024,"Introduction of Environmental Sustainability Criteria in Quality Component of The Price Quality Method (PQM) Framework [PDF, 121 KB]",circular-on-environmental-sustainability-criteria-pqm.pdf,https://isomer-user-content.by.gov.sg/338/bdd94834-6e0d-494b-9550-388f22e0e168/circular-on-environmental-sustainability-criteria-pqm.pdf
2024,25 September 2024,"Advisory on Maintenance of Loosened Building Exterior Features, Slopes, Earth Retaining and Boundary Walls [PDF, 59 KB]",advisory-on-maintenance-of-loosened-building-exterior-features-slopes-earth-retaining-and-boundary-walls.pdf,https://isomer-user-content.by.gov.sg/338/f6b6cc70-5017-454c-acf2-750b999631a9/advisory-on-maintenance-of-loosened-building-exterior-features-slopes-earth-retaining-and-boundary-walls.pdf
2024,6 September 2024,"Circular on the Revised Standard Consultancy Agreement (SCA) [PDF, 105 KB]",circular-on-enhancements-to-sca-2024ce9b6a79-2527-4588-b43c-255f4b16927a.pdf,https://isomer-user-content.by.gov.sg/338/c08ecf2f-2997-41ed-82f9-beec4bb652c1/circular-on-enhancements-to-sca-2024ce9b6a79-2527-4588-b43c-255f4b16927a.pdf
